Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Contribution
22-Sep-24,0.0118,0,0,0,,,1333936706,1333936706
23-Sep-24,0.0199,0.006431957,0,0.0104,,,1344607001,0
24-Sep-24,0.031,0.034529452,0.007464681,0.018,,,1359223644,0
25-Sep-24,0.0271,0.031144211,0.024415227,0.0118,,,1354076368,0
26-Sep-24,0.0288,0.031144211,0.014727243,0.0185,,,1356314679,0
27-Sep-24,0.0288,0.031144211,0.014727243,0.0185,,,1356314679,0
28-Sep-24,0.0062,0.02098849,0.014727243,0.0264,,,1326560333,0
29-Sep-24,0.0149,0.012525389,0.056815846,0.023,,,1338042318,0
30-Sep-24,0.0041,0.011848341,0.032585609,0.0289,,,1323829444,0
1-Oct-24,0.0023,0.008801625,0.039402826,0.0566,,,1321491943,0
2-Oct-24,0.0344,0.004739336,0.053109199,0.0569,,,1363789076,0
3-Oct-24,0.0338,0.004739336,0.067161571,0.0684,,,1362963892,0
4-Oct-24,0.0338,0.004739336,0.067161571,0.0684,,,1362963892,0
5-Oct-24,0.0326,-0.001015572,0.067161571,0.0566,,,1361417322,0
6-Oct-24,0.053,-0.006770481,0.07261877,0.0734,,,1388339058,0
7-Oct-24,0.0409,-0.004062288,0.110373816,0.0616,,,1372369944,0
8-Oct-24,0.0302,0.004062288,0.091045809,0.0566,,,1358272284,0
9-Oct-24,0.0325,0.005754909,0.074561163,0.065,,,1361304184,0
10-Oct-24,0.0625,0.005754909,0.075952012,0.0759,,,1400827870,0
11-Oct-24,0.0625,0.005754909,0.075952012,0.0759,,,1400827870,0
12-Oct-24,0.1479,0.005754909,0.075952012,0.0524,,,2831755729,0
13-Oct-24,0.0673,0.005754909,0.077425079,0.0613,,,1407102896,0
14-Oct-24,0.0584,0.005754909,0.088188744,0.065,,,1395422660,0
15-Oct-24,0.0583,0.005754909,0.107982652,0.0588,,,1395247243,0
16-Oct-24,0.0493,0.005754909,0.10248777,0.0684,,,1383353186,0
17-Oct-24,0.0406,0.005754909,0.1204078,0.0734,,,1371960931,0
18-Oct-24,0.0406,0.005754909,0.1204078,0.0734,,,1371960931,0
19-Oct-24,0.0456,0.005754909,0.1204078,0.0734,,,1378521935,0
20-Oct-24,0.0758,0.005754909,0.147806843,0.0801,,,1418336095,0
21-Oct-24,0.0724,0.005754909,0.16826877,0.0899,,,1413875733,0
22-Oct-24,0.0691,0.005754909,0.168693561,0.1154,,,1409466386,0
23-Oct-24,0.0701,0.005754909,0.175867054,0.1465,,,1410799793,0
24-Oct-24,0.0658,0.005754909,0.203444236,0.1473,,,1405179076,0
25-Oct-24,0.0658,0.005754909,0.203444236,0.1473,,,1405179076,0
26-Oct-24,0.0185,0.005754909,0.203444236,0.1036,,,1342775934,0
27-Oct-24,0.0472,0.005754909,0.10292969,0.1154,,,1380606346,0
28-Oct-24,0.0599,0.005754909,0.123473834,0.1351,,,1397426912,0
29-Oct-24,0.0754,0.005754909,0.157076887,0.1524,,,1417863868,0
30-Oct-24,0.0859,0.005754909,0.19414336,0.1587,,,1431614639,0
31-Oct-24,0.096,0.005754909,0.201104458,0.1482,,,1445037310,0
1-Nov-24,0.096,0.005754909,0.201104458,0.1482,,,1445037310,0
2-Nov-24,0.0713,-0.007786053,0.201104458,0.1688,,,1412384194,0
3-Nov-24,0.0879,-0.02268111,0.184763693,0.1692,,,1434362479,0
4-Nov-24,0.0694,-0.029451591,0.21125149,0.1608,,,1409932303,0
5-Nov-24,0.0654,-0.01591063,0.18370514,0.1582,,,1404639686,0
6-Nov-24,0.0822,-0.031482735,0.16969045,0.1725,,,1426816602,0
7-Nov-24,0.0978,-0.031482735,0.197281335,0.1658,,,1447380883,0
8-Nov-24,0.0978,-0.031482735,0.197281335,0.1658,,,1447380883,0
9-Nov-24,0.0792,-0.002708192,0.197281335,0.1641,,,1422824383,0
10-Nov-24,0.0725,-0.002708192,0.167830275,0.1477,,,1413941098,0
11-Nov-24,0.0622,-0.002708192,0.133127561,0.1255,,,1400379242,0
12-Nov-24,0.0672,-0.002708192,0.088517615,0.1431,,,1406947677,0
