Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Contribution
17-Oct-24,-0.0082,0,0,0,717063350.7,,717063350.7,717063350.7
18-Oct-24,-0.0082,0,0,0,717063350.7,,717063350.7,0
19-Oct-24,-0.0035,0,0,0,720492497.5,,720492497.5,0
20-Oct-24,0.0253,0,0.024454528,0.0063,741301599.7,,741301599.7,0
21-Oct-24,0.0221,0,0.042717455,0.0153,738970365.4,,738970365.4,0
22-Oct-24,0.0189,0,0.043096595,0.0391,736665794.8,,736665794.8,0
23-Oct-24,0.0198,0,0.049499168,0.0681,737362707.8,,737362707.8,0
24-Oct-24,0.0158,0,0.07411269,0.0689,734425007.6,,734425007.6,0
25-Oct-24,0.0158,0,0.07411269,0.0689,734425007.6,,734425007.6,0
26-Oct-24,-0.0293,0,0.07411269,0.0282,701809642.8,,701809642.8,0
27-Oct-24,-0.002,0,-0.015599775,0.0391,721581927.2,,721581927.2,0
28-Oct-24,0.0102,0,0.002736534,0.0574,730373293.7,,730373293.7,0
29-Oct-24,0.0249,0,0.03272834,0.0736,741054787.6,,741054787.6,0
30-Oct-24,0.0349,0,0.06581136,0.0795,748241708.1,,748241708.1,0
31-Oct-24,0.0446,0,0.072024363,0.0696,755257145.1,,755257145.1,0
1-Nov-24,0.0446,0,0.072024363,0.0696,755257145.1,,755257145.1,0
2-Nov-24,0.021,-0.01346348,0.072024363,0.0889,738190804.4,,738190804.4,0
3-Nov-24,0.0369,-0.028273309,0.057439705,0.0892,749677882.3,,749677882.3,0
4-Nov-24,0.0192,-0.035005049,0.081080916,0.0814,736909308.9,,736909308.9,0
5-Nov-24,0.0154,-0.021541569,0.056494912,0.079,734143092.1,,734143092.1,0
6-Nov-24,0.0314,-0.037024571,0.043986351,0.0923,745733986.3,,745733986.3,0
7-Nov-24,0.0463,-0.037024571,0.068612103,0.0861,756482027.2,,756482027.2,0
8-Nov-24,0.0463,-0.037024571,0.068612103,0.0861,756482027.2,,756482027.2,0
9-Nov-24,0.0285,-0.008414675,0.068612103,0.0845,743647429.7,,743647429.7,0
10-Nov-24,0.0221,-0.008414675,0.042326085,0.0692,739004529.3,,739004529.3,0
11-Nov-24,0.0123,-0.008414675,0.011352796,0.0485,731916346.3,,731916346.3,0
12-Nov-24,0.0171,-0.008414675,-0.028463016,0.0649,735349376.9,,735349376.9,0
13-Nov-24,0.0273,-0.008414675,-0.014489873,0.0696,742733697.6,,742733697.6,0
14-Nov-24,0.0402,-0.008414675,0.007163911,0.0728,752081414.5,,752081414.5,0
15-Nov-24,0.0402,-0.008414675,0.007163911,0.0728,752081414.5,,752081414.5,0
16-Nov-24,0.0256,-0.008414675,0.007163911,0.0701,741552059.9,,741552059.9,0
17-Nov-24,0.0255,-0.008414675,-0.004488528,0.0704,741482615,,741482615,0
18-Nov-24,0.0235,-0.008414675,-0.003078983,0.072,739997838.1,,739997838.1,0
19-Nov-24,0.026,-0.008414675,0.001800915,0.0822,741801589.5,,741801589.5,0
20-Nov-24,0.039,-0.008414675,0.023298762,0.0826,751211185.3,,751211185.3,0
21-Nov-24,0.0302,-0.008414675,0.044163691,0.0858,744858614.7,,744858614.7,0
22-Nov-24,0.0302,-0.008414675,0.044163691,0.0858,744858614.7,,744858614.7,0
23-Nov-24,0.0324,-0.008414675,0.044163691,0.0986,746461411.6,,746461411.6,0
24-Nov-24,0.0413,-0.008414675,0.068911746,0.0782,752894553.9,,752894553.9,0
25-Nov-24,0.0252,-0.008414675,0.053651362,0.0853,741260303.2,,741260303.2,0
26-Nov-24,0.0295,-0.008414675,0.032355315,0.0889,744311218.7,,744311218.7,0
27-Nov-24,0.0348,-0.008414675,0.031587863,0.0947,748165468.4,,748165468.4,0
28-Nov-24,0.0304,-0.008414675,0.038079106,0.0986,745014741,,745014741,0
29-Nov-24,0.0304,-0.008414675,0.038079106,0.0986,745014741,,745014741,0
30-Nov-24,0.0452,-0.008414675,0.038079106,0.1059,755672589.9,,755672589.9,0
1-Dec-24,0.039,0.131942107,0.061601071,0.0994,751238161.1,,751238161.1,0
2-Dec-24,0.0447,0.165264221,0.048551318,0.1088,755304072.4,,755304072.4,0
3-Dec-24,0.0478,0.171995961,0.053526002,0.1182,757612569.3,,757612569.3,0
4-Dec-24,0.0448,0.166947156,0.059133604,0.1228,755444716.4,,755444716.4,0
5-Dec-24,0.0448,0.166947156,0.065028619,0.1197,755444716.4,,755444716.4,0
6-Dec-24,0.0448,0.166947156,0.065028619,0.1197,755444716.4,,755444716.4,0
7-Dec-24,0.0473,0.152137328,0.065028619,0.1236,757195839.7,,757195839.7,0
8-Dec-24,0.0502,0.145069,0.059298713,0.1294,759330240.5,,759330240.5,0
9-Dec-24,0.0483,0.179400875,0.069758696,0.1307,757953139.4,,757953139.4,0
10-Dec-24,0.053,0.179400875,0.07277347,0.1377,761303974.4,,761303974.4,0
11-Dec-24,0.0581,0.179400875,0.083530038,0.151,765000218.9,,765000218.9,0
12-Dec-24,0.0648,0.179400875,0.110699697,0.1479,769889124.3,,769889124.3,0
13-Dec-24,0.0648,0.179400875,0.110699697,0.1479,769889124.3,,769889124.3,0
14-Dec-24,0.0575,0.179400875,0.110699697,0.1761,764576593.3,,764576593.3,0
15-Dec-24,0.0652,0.179400875,0.123134876,0.1721,770154623.9,,770154623.9,0
16-Dec-24,0.0548,0.179400875,0.12186598,0.1941,762668674.6,,762668674.6,0
17-Dec-24,0.0622,0.179400875,0.13250636,0.2027,768016109.6,,768016109.6,0
18-Dec-24,0.0622,0.179400875,0.142333423,0.2097,768016109.6,,768016109.6,0
19-Dec-24,0.0841,0.179400875,0.135209261,0.2058,783840340.8,,783840340.8,0
20-Dec-24,0.0841,0.179400875,0.135209261,0.2058,783840340.8,,783840340.8,0
21-Dec-24,0.0635,0.179400875,0.135209261,0.1941,768935407,,768935407,0
22-Dec-24,0.0545,0.179400875,0.108327014,0.1953,762425617.6,,762425617.6,0
23-Dec-24,0.0564,0.179400875,0.096481948,0.2246,763809798.1,,763809798.1,0
24-Dec-24,0.0518,0.179400875,0.130677927,0.2336,760449280.7,,760449280.7,0
25-Dec-24,0.0399,0.179400875,0.139171885,0.234,751861965.2,,751861965.2,0
26-Dec-24,0.0138,0.179400875,0.133616261,0.248,732968428.9,,732968428.9,0
27-Dec-24,0.0138,0.179400875,0.133616261,0.248,732968428.9,,732968428.9,0
28-Dec-24,0.0569,0.179400875,0.133616261,0.2786,764138338.8,,764138338.8,0
29-Dec-24,0.0737,0.179400875,0.161360746,0.2527,776299293.6,,776299293.6,0
30-Dec-24,0.1104,0.179400875,0.141229637,0.284,1525878701,,1525878701,0
31-Dec-24,0.0738,0.179400875,0.133151509,0.277,776396407.5,,776396407.5,0
1-Jan-25,0.0862,0.282733087,0.143559513,0.2786,785307609.4,,785307609.4,0
2-Jan-25,0.1001,0.282733087,0.141101218,0.2653,795413287,,795413287,0
3-Jan-25,0.1001,0.282733087,0.141101218,0.2653,795413287,,795413287,0
4-Jan-25,0.119,0.321104005,0.141101218,0.2574,809031857.8,,809031857.8,0
5-Jan-25,0.1136,0.32278694,0.12851316,0.2488,805136231.5,,805136231.5,0
6-Jan-25,0.1084,0.306630764,0.126363681,0.2551,801411192.8,,801411192.8,0
7-Jan-25,0.081,0.333221138,0.122923903,0.2567,781585897.8,,781585897.8,0
8-Jan-25,0.0648,0.338269943,0.138704075,0.2637,769883049.1,,769883049.1,0
9-Jan-25,0.0316,0.338269943,0.154511766,0.2801,745847811.2,,745847811.2,0
10-Jan-25,0.0316,0.338269943,0.154511766,0.2801,745847811.2,,745847811.2,0
11-Jan-25,0.05,0.32514305,0.154511766,0.2856,759168156.3,,759168156.3,0
12-Jan-25,0.0846,0.300572198,0.185619588,0.2684,784198427.6,,784198427.6,0
13-Jan-25,0.0807,0.313025917,0.178348662,0.2762,781391960.3,,781391960.3,0
14-Jan-25,0.0807,0.313025917,0.188924832,0.2793,781391960.3,,781391960.3,0
15-Jan-25,0.0784,0.311006395,0.188924832,0.2637,779699030.4,,779699030.4,0
16-Jan-25,0.0928,0.311006395,0.18046145,0.2602,790110434.7,,790110434.7,0
17-Jan-25,0.0928,0.311006395,0.18046145,0.2602,790110434.7,,790110434.7,0
18-Jan-25,0.0713,0.281723326,0.18046145,0.2684,774543657.6,,774543657.6,0
19-Jan-25,0.0781,0.282059913,0.175602955,0.2684,779462627.5,,779462627.5,0
20-Jan-25,0.084,0.270279367,0.184317059,0.2731,783764336.8,,783764336.8,0
21-Jan-25,0.0746,0.273981824,0.19054535,0.2958,776924442.4,,776924442.4,0
22-Jan-25,0.0897,0.305621003,0.212728096,0.2973,787903020,,787903020,0
23-Jan-25,0.0759,0.305621003,0.244542219,0.3153,777859588.7,,777859588.7,0
24-Jan-25,0.0759,0.305621003,0.244542219,0.3153,777859588.7,,777859588.7,0
25-Jan-25,0.1307,0.313025917,0.244542219,0.3146,817551071.4,,817551071.4,0
26-Jan-25,0.1288,0.292157523,0.264774228,0.3185,816156306.7,,816156306.7,0
27-Jan-25,0.1287,0.287781892,0.268901962,0.32,816057583.7,,816057583.7,0
28-Jan-25,0.1287,0.287781892,0.261924563,0.3216,816057583.7,,816057583.7,0
29-Jan-25,0.1588,0.286098957,0.261924563,0.3091,837817595.3,,837817595.3,0
30-Jan-25,0.1497,0.286098957,0.254983856,0.3138,831220153,,831220153,0
31-Jan-25,0.1497,0.286098957,0.254983856,0.3138,831220153,,831220153,0
1-Feb-25,0.1461,0.266240323,0.254983856,0.3189,828625528.8,,828625528.8,0
2-Feb-25,0.1361,0.276001346,0.278918595,0.3208,821427703.2,,821427703.2,0
3-Feb-25,0.1453,0.290474588,0.296025757,0.318,828049160.8,,828049160.8,0
4-Feb-25,0.1352,0.306967351,0.299275965,0.3294,820759750.2,,820759750.2,0
5-Feb-25,0.1629,0.296533154,0.302085881,0.3419,840793379.7,,840793379.7,0
6-Feb-25,0.1495,0.296533154,0.346601194,0.3474,831095660.4,,831095660.4,0
7-Feb-25,0.1495,0.296533154,0.346601194,0.3474,831095660.4,,831095660.4,0
8-Feb-25,0.1495,0.296533154,0.346601194,0.403,831095660.4,,831095660.4,0
9-Feb-25,0.1982,0.32850892,0.346601194,0.4531,866337712.3,,866337712.3,0
10-Feb-25,0.1982,0.32850892,0.474567047,0.4429,866337712.3,,866337712.3,0
11-Feb-25,0.1275,0.32850892,0.474567047,0.3983,815185724.2,,815185724.2,0
12-Feb-25,0.1275,0.32850892,0.446315004,0.3959,815185724.2,,815185724.2,0
13-Feb-25,0.121,0.32850892,0.446315004,0.4092,810523823.6,,810523823.6,0
14-Feb-25,0.121,0.32850892,0.446315004,0.4092,810523823.6,,810523823.6,0
15-Feb-25,0.1375,0.32850892,0.446315004,0.4296,822457013.8,,822457013.8,0
16-Feb-25,0.1204,0.305440888,0.473389878,0.4288,810094456,,810094456,0
17-Feb-25,0.1412,0.326411826,0.470448486,0.4311,825128874.2,,825128874.2,0
18-Feb-25,0.143,0.340042935,0.490656034,0.4468,826436046.5,,826436046.5,0
19-Feb-25,0.1432,0.350528404,0.522409006,0.4515,826527370.8,,826527370.8,0
20-Feb-25,0.0955,0.350528404,0.591825253,0.4726,792088290.1,,792088290.1,0
21-Feb-25,0.0955,0.350528404,0.591825253,0.4726,792088290.1,,792088290.1,0
22-Feb-25,0.1519,0.346334217,0.591825253,0.4664,832843101.7,,832843101.7,0
23-Feb-25,0.12,0.372547889,0.650815151,0.459,809782064.3,,809782064.3,0
24-Feb-25,0.1242,0.408198484,0.578897803,0.4405,812849858.9,,812849858.9,0
25-Feb-25,0.1007,0.421829594,0.587355071,0.4531,795840698.4,,795840698.4,0
26-Feb-25,0.1125,0.407149937,0.53899638,0.4585,804329897.4,,804329897.4,0
27-Feb-25,0.1259,0.407149937,0.577109119,0.4554,814034382.6,,814034382.6,0
28-Feb-25,0.1259,0.407149937,0.577109119,0.4554,814034382.6,,814034382.6,0
1-Mar-25,0.1143,0.412392671,0.577109119,0.4507,805638597.8,,805638597.8,0
2-Mar-25,0.1009,0.424975234,0.510826892,0.4499,795990925.1,,795990925.1,0
3-Mar-25,0.1027,0.400858656,0.493918473,0.4296,797249604.4,,797249604.4,0
4-Mar-25,0.1006,0.396664468,0.460691747,0.4249,795779485.6,,795779485.6,0
5-Mar-25,0.1163,0.386178999,0.48343403,0.3928,807106380.6,,807106380.6,0
6-Mar-25,0.1139,0.386178999,0.451408933,0.4019,805337764.6,,805337764.6,0
7-Mar-25,0.1139,0.386178999,0.451408933,0.4019,805337764.6,,805337764.6,0
8-Mar-25,0.1075,0.368353702,0.451408933,0.4374,800714103.9,,800714103.9,0
9-Mar-25,0.0931,0.352625498,0.51149956,0.4507,790357096.6,,790357096.6,0
10-Mar-25,0.0973,0.359965327,0.557140062,0.4557,793376357.5,,793376357.5,0
11-Mar-25,0.0972,0.344237123,0.550077051,0.459,793299011.5,,793299011.5,0
