?????,?????? ?????,?????? ??????,?????? ????? ??? ?? ?? ??????,?????? ????,?????? ??????,?????? ?????
28 ?????? 1403," 717,063,351.00 ",,," 14,341,267.01 "," 40,556,771.43 ",
22 ?????? 1404,," 3,239,983,306.00 ",," 5,982,080.55 "," 75,352,632.12 ",
28 ?????? 1404,,," 4,800,958,302.00 "," 20,323,347.56 "," 115,909,403.55 "," 4,664,725,550.89 "
,,,,,,
,,,,,,
,,,,,,
?????,,,?????? ????? ??? ?? ?? ??????,?????? ????,?????? ??????,?????? ?????
28 ?????? 1403," 203,000,000.00 ",,," 40,600,000.00 "," 114,815,861.00 ",
4 ????? 1403,," 10,000,000.00 ",," 12,941,165.69 "," 101,019,557.00 ",
18 ????? 1403,," 10,000,000.00 ",," 12,172,075.48 "," 143,262,858.00 ",
3 ?????? 1404,," 20,000,000.00 ",," 5,976,827.94 "," 94,832,818.69 ",
30 ?????? 1404,," 400,000,000.00 ",," 564,637.39 "," 5,975,794.23 ",
5 ?????? 1404,," 400,000,000.00 ",," 434,265.75 "," 4,883,385.25 ",
28 ??? ??? 1404,,," 9,900,770,301.00 "," 72,688,972.25 "," 464,790,274.17 "," 9,363,291,054.58 "
