Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Contribution
22-Dec-24,-0.0085,0,0,0,5269094520,,5269094520,5269094520
23-Dec-24,-0.0067,0,0,0.0245,5278660539,,5278660539,0
24-Dec-24,-0.011,0,0.031186996,0.0321,5255436131,,5255436131,0
25-Dec-24,-0.0222,0,0.038933552,0.0323,5196089519,,5196089519,0
26-Dec-24,-0.0468,0,0.03386678,0.0441,5065517006,,5065517006,0
27-Dec-24,-0.0468,0,0.03386678,0.0441,5065517006,,5065517006,0
28-Dec-24,-0.0062,0,0.03386678,0.0697,5280931071,,5280931071,0
29-Dec-24,0.0096,0,0.059169964,0.048,5364974969,,5364974969,0
30-Dec-24,-0.0156,0,0.040810237,0.0742,10545289817,,10545289817,0
31-Dec-24,0.0097,0,0.033442923,0.0683,5365646119,,5365646119,0
1-Jan-25,0.0213,0.087614155,0.042935102,0.0697,5427231098,,5427231098,0
2-Jan-25,0.0344,0.087614155,0.040693119,0.0585,5497071052,,5497071052,0
3-Jan-25,0.0344,0.087614155,0.040693119,0.0585,5497071052,,5497071052,0
4-Jan-25,0.0521,0.120148402,0.040693119,0.052,5591188478,,5591188478,0
5-Jan-25,0.0471,0.121575343,0.029212712,0.0448,5564265953,,5564265953,0
6-Jan-25,0.0422,0.107876712,0.027252371,0.05,5538522351,,5538522351,0
7-Jan-25,0.0165,0.130422374,0.024115267,0.0513,5401510490,,5401510490,0
8-Jan-25,0.0012,0.134703196,0.038506906,0.0572,5320632546,,5320632546,0
9-Jan-25,-0.03,0.134703196,0.052923641,0.071,5154525929,,5154525929,0
10-Jan-25,-0.03,0.134703196,0.052923641,0.071,5154525929,,5154525929,0
11-Jan-25,-0.0127,0.123573059,0.052923641,0.0755,5246582329,,5246582329,0
12-Jan-25,0.0198,0.102739726,0.081294216,0.0611,5419565584,,5419565584,0
13-Jan-25,0.0162,0.113299087,0.074663075,0.0677,5400170195,,5400170195,0
14-Jan-25,0.0162,0.113299087,0.084308624,0.0703,5400170195,,5400170195,0
15-Jan-25,0.014,0.111586758,0.084308624,0.0572,5388470421,,5388470421,0
16-Jan-25,0.0275,0.111586758,0.076589954,0.0543,5460423241,,5460423241,0
17-Jan-25,0.0275,0.111586758,0.076589954,0.0543,5460423241,,5460423241,0
18-Jan-25,0.0073,0.086757991,0.076589954,0.0611,5352841835,,5352841835,0
19-Jan-25,0.0137,0.087043379,0.072158969,0.0611,5386836649,,5386836649,0
20-Jan-25,0.0193,0.077054795,0.080106299,0.0651,5416565599,,5416565599,0
21-Jan-25,0.0104,0.080194064,0.085786549,0.0841,5369295348,,5369295348,0
22-Jan-25,0.0247,0.107020548,0.106017384,0.0854,5445167882,,5445167882,0
23-Jan-25,0.0116,0.107020548,0.13503211,0.1004,5375758109,,5375758109,0
24-Jan-25,0.0116,0.107020548,0.13503211,0.1004,5375758109,,5375758109,0
25-Jan-25,0.0632,0.113299087,0.13503211,0.0998,5650064440,,5650064440,0
26-Jan-25,0.0614,0.095605023,0.153483859,0.103,5640425274,,5640425274,0
27-Jan-25,0.0613,0.091894977,0.157248383,0.1043,5639743003,,5639743003,0
28-Jan-25,0.0613,0.091894977,0.150884942,0.1057,5639743003,,5639743003,0
29-Jan-25,0.0896,0.090468037,0.150884942,0.0952,5790125618,,5790125618,0
30-Jan-25,0.081,0.090468037,0.144554964,0.0991,5744530945,,5744530945,0
31-Jan-25,0.081,0.090468037,0.144554964,0.0991,5744530945,,5744530945,0
1-Feb-25,0.0776,0.073630137,0.144554964,0.1034,5726599595,,5726599595,0
2-Feb-25,0.0683,0.081906393,0.16638363,0.105,5676855695,,5676855695,0
3-Feb-25,0.0769,0.094178082,0.181985494,0.1026,5722616338,,5722616338,0
4-Feb-25,0.0674,0.108162101,0.184949709,0.1122,5672239497,,5672239497,0
5-Feb-25,0.0935,0.099315068,0.187512374,0.1227,5810691151,,5810691151,0
6-Feb-25,0.0808,0.099315068,0.228110683,0.1273,5743670581,,5743670581,0
