Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Contribution
20-May-25,0,0,0,0,,,200000000,200000000
21-May-25,-0.0172,-0.022073579,0,-0.0061,,,196566959.9,0
22-May-25,-0.0127,-0.010033445,-0.001580471,-0.0121,,,197450220.8,0
23-May-25,-0.0127,-0.010033445,-0.011908863,-0.0061,,,197450220.8,0
24-May-25,-0.0194,-0.027424749,-0.011908863,-0.0061,,,196114499.7,0
25-May-25,-0.0263,-0.026755853,-0.016470726,-0.0061,,,194735784.6,0
26-May-25,-0.0299,-0.010702341,-0.03011247,0.0061,,,194028471.1,0
27-May-25,-0.0231,-0.016722408,-0.026684288,-0.0061,,,195388320.9,0
28-May-25,-0.0211,-0.016722408,-0.023656965,-0.0121,,,195783584.8,0
29-May-25,-0.0217,-0.016722408,-0.023656965,-0.0121,,,195656261.5,0
30-May-25,-0.0217,-0.010702341,-0.023656965,-0.0061,,,195656261.5,0
31-May-25,-0.0047,-0.010702341,-0.023656965,-0.0061,,,199054673.2,0
1-Jun-25,-0.0106,-0.016722408,-0.023656965,0,,,197870928.9,0
2-Jun-25,-0.0288,-0.016053512,-0.034546977,0,,,194237519,0
3-Jun-25,-0.0223,-0.026755853,-0.021782112,0.0061,,,195532854.2,0
4-Jun-25,-0.0223,-0.018060201,-0.008710339,0.0061,,,195532854.2,0
5-Jun-25,-0.0223,-0.023411371,-0.008710339,0.0061,,,195532854.2,0
6-Jun-25,-0.0223,-0.023411371,-0.008710339,0,,,195532854.2,0
7-Jun-25,-0.0065,-0.049498328,-0.008710339,0,,,198703179.5,0
8-Jun-25,-0.0073,-0.050167224,-0.005346879,-0.0061,,,198539882.4,0
9-Jun-25,-0.0002,-0.057525084,-0.006597477,-0.0001,,,199955903,0
10-Jun-25,-0.0062,-0.057525084,0.007311507,-0.0072,,,198769871.1,0
11-Jun-25,-0.0048,-0.061538462,-0.013685588,0.0029,,,199041515.6,0
12-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
13-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
14-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
15-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
16-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
17-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
18-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
19-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
20-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
21-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
22-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
23-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
24-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0125,,,199256725.9,0
25-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0045,,,199256725.9,0
26-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0143,,,199256725.9,0
27-Jun-25,-0.0037,-0.061538462,-0.003140065,0.0143,,,199256725.9,0
28-Jun-25,-0.0671,-0.089632107,-0.003140065,0.0251,,,186587713,0
29-Jun-25,-0.0412,-0.11638796,0.016109535,0.0681,,,191767005.5,0
30-Jun-25,-0.0168,-0.142474916,0.064851525,0.0993,,,196637510.2,0
1-Jul-25,-0.0522,-0.167892977,0.138737001,0.1118,,,189562910.9,0
2-Jul-25,-0.0493,-0.192642141,0.152270179,0.1078,,,190135242.1,0
3-Jul-25,-0.0493,-0.211371238,0.114873343,0.1103,,,190135242.1,0
4-Jul-25,-0.0493,-0.233444816,0.114873343,0.1103,,,190135242.1,0
5-Jul-25,-0.0493,-0.233444816,0.114873343,0.1103,,,190135242.1,0
6-Jul-25,-0.0493,-0.233444816,0.114873343,0.1103,,,190135242.1,0
7-Jul-25,-0.0358,-0.233444816,0.114873343,0.0712,,,192831346.6,0
8-Jul-25,-0.0351,-0.233444816,0.085497869,0.055,,,192988862.6,0
9-Jul-25,-0.0351,-0.255518395,0.069033407,0.0646,,,192988862.6,0
10-Jul-25,-0.0351,-0.255518395,0.077697815,0.0701,,,192988862.6,0
11-Jul-25,-0.0278,-0.255518395,0.077697815,0.0701,,,194441154.4,0
12-Jul-25,-0.0135,-0.236789298,0.077697815,0.0556,,,197301699.9,0
13-Jul-25,-0.0269,-0.230769231,0.07127989,0.0776,,,194618448,0
14-Jul-25,-0.0029,-0.217391304,0.087815337,0.0726,,,199415534.9,0
15-Jul-25,0.0353,-0.203344482,0.117395416,0.0726,,,207053962.4,0
16-Jul-25,0.0423,-0.181270903,0.103127329,0.0726,,,208458455.1,0
17-Jul-25,0.0423,-0.181270903,0.100736788,0.0726,,,208458455.1,0
18-Jul-25,0.0423,-0.181270903,0.100736788,0.0726,,,208458455.1,0
19-Jul-25,0.0341,-0.16187291,0.100736788,0.0726,,,206812367,0
20-Jul-25,0.0245,-0.163879599,0.092832343,0.0726,,,204905431.4,0
21-Jul-25,0.0308,-0.143812709,0.08089425,0.0726,,,206163088.9,0
22-Jul-25,0.034,-0.138461539,0.093523407,0.0726,,,206808976.9,0
23-Jul-25,0.0347,-0.141137124,0.107190206,0.0726,,,206948777.2,0
24-Jul-25,0.0347,-0.141137124,0.108396959,0.0726,,,206948777.2,0
25-Jul-25,0.0347,-0.141137124,0.108396959,0.0726,,,206948777.2,0
26-Jul-25,0.0303,-0.119063545,0.108396959,0.0726,,,206066956.5,0
27-Jul-25,0.0252,-0.123745819,0.090825958,0.0726,,,205040423.6,0
28-Jul-25,0.0281,-0.139130435,0.08546864,0.0726,,,205617359.1,0
29-Jul-25,0.0283,-0.159866221,0.104425947,0.0726,,,205662917.4,0
30-Jul-25,0.0302,-0.180602007,0.107931378,0.0909,,,206034372.1,0
31-Jul-25,0.0302,-0.180602007,0.109509762,0.0909,,,206034372.1,0
1-Aug-25,0.0302,-0.180602007,0.109509762,0.1188,,,206034372.1,0
2-Aug-25,0.0352,-0.191304348,0.109509762,0.1333,,,207032531.5,0
3-Aug-25,0.0549,-0.202675585,0.14484593,0.1333,,,210974554,0
4-Aug-25,0.0614,-0.199331104,0.168889139,0.1333,,,212280400,0
5-Aug-25,0.0799,-0.177926421,0.173818457,0.1333,,,215987626.6,0
6-Aug-25,0.0809,-0.201337793,0.174016799,0.1333,,,216188234.9,0
7-Aug-25,0.0809,-0.201337793,0.163767744,0.1273,,,216188234.9,0
8-Aug-25,0.0809,-0.201337793,0.163767744,0.1273,,,216188234.9,0
9-Aug-25,0.0748,-0.192642141,0.163767744,0.1273,,,214960674.7,0
10-Aug-25,0.0687,-0.198662207,0.147727107,0.1273,,,213730340.8,0
11-Aug-25,0.0822,-0.213377926,0.141317533,0.1273,,,216430380.7,0
12-Aug-25,0.0763,-0.22006689,0.15622449,0.1273,,,215260381.1,0
13-Aug-25,0.0868,-0.242140468,0.148869138,0.1273,,,217362772.9,0
14-Aug-25,0.0868,-0.242140468,0.16715417,0.1273,,,217362772.9,0
15-Aug-25,0.0868,-0.242140468,0.16715417,0.1285,,,217362772.9,0
16-Aug-25,0.0766,-0.240133779,0.16715417,0.1285,,,215310490.2,0
17-Aug-25,0.0907,-0.217391304,0.145622595,0.1297,,,218144485.8,0
18-Aug-25,0.0925,-0.206688963,0.152341165,0.1297,,,218492143.5,0
19-Aug-25,0.096,-0.213377926,0.157719361,0.1321,,,219190977.1,0
20-Aug-25,0.0962,-0.224080268,0.16289504,0.1333,,,219239474.3,0
21-Aug-25,0.0962,-0.224080268,0.173540778,0.1333,,,219239474.3,0
22-Aug-25,0.0962,-0.224080268,0.173540778,0.1333,,,219239474.3,0
23-Aug-25,0.0979,,,,,,,
24-Aug-25,0.0979,,,,,,,
25-Aug-25,0.0997,,,,,,,
26-Aug-25,0.1014,,,,,,,
27-Aug-25,0.1032,,,,,,,
28-Aug-25,0.1049,,,,,,,
29-Aug-25,0.1049,,,,,,,
30-Aug-25,0.1067,,,,,,,
31-Aug-25,0.1084,,,,,,,
1-Sep-25,0.1084,,,,,,,
2-Sep-25,0.1102,,,,,,,
3-Sep-25,0.1119,,,,,,,
4-Sep-25,0.1137,,,,,,,
5-Sep-25,0.1137,,,,,,,
6-Sep-25,0.1154,,,,,,,
7-Sep-25,0.1172,,,,,,,
8-Sep-25,0.1189,,,,,,,
9-Sep-25,0.1207,,,,,,,
10-Sep-25,0.1207,,,,,,,
11-Sep-25,0.1224,,,,,,,
12-Sep-25,0.1224,,,,,,,
13-Sep-25,0.1242,,,,,,,
14-Sep-25,0.1259,,,,,,,
15-Sep-25,0.1277,,,,,,,
16-Sep-25,0.1294,,,,,,,
17-Sep-25,0.1312,,,,,,,
18-Sep-25,0.1329,,,,,,,
19-Sep-25,0.1329,,,,,,,
20-Sep-25,0.1347,,,,,,,
21-Sep-25,0.1364,,,,,,,
22-Sep-25,0.1382,,,,,,,
23-Sep-25,0.1399,,,,,,,
24-Sep-25,0.1417,,,,,,,
25-Sep-25,0.1434,,,,,,,
26-Sep-25,0.1434,,,,,,,
27-Sep-25,0.1452,,,,,,,
28-Sep-25,0.1469,,,,,,,
29-Sep-25,0.1486,,,,,,,
30-Sep-25,0.1504,,,,,,,
1-Oct-25,0.1521,,,,,,,
2-Oct-25,0.1539,,,,,,,
3-Oct-25,0.1539,,,,,,,
4-Oct-25,0.1556,,,,,,,
5-Oct-25,0.1574,,,,,,,
6-Oct-25,0.1591,,,,,,,
7-Oct-25,0.1609,,,,,,,
8-Oct-25,0.1626,,,,,,,
9-Oct-25,0.1644,,,,,,,
10-Oct-25,0.1644,,,,,,,
11-Oct-25,0.1661,,,,,,,
12-Oct-25,0.1679,,,,,,,
13-Oct-25,0.1696,,,,,,,
14-Oct-25,0.1696,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
