Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Contribution
22-Dec-24,-0.85%,0,0,0.00%,-0.0082,,5269094520,5269094520
23-Dec-24,-0.67%,0,0,2.45%,-0.0082,,5278660539,0
24-Dec-24,-1.10%,0,0.031186996,3.21%,-0.0035,,5255436131,0
25-Dec-24,-2.22%,0,0.038933552,3.23%,0.0253,,5196089519,0
26-Dec-24,-4.68%,0,0.03386678,4.41%,0.0221,,5065517006,0
27-Dec-24,-4.68%,0,0.03386678,4.41%,0.0189,,5065517006,0
28-Dec-24,-0.62%,0,0.03386678,6.97%,0.0198,,5280931071,0
29-Dec-24,0.96%,0,0.059169964,4.80%,0.0158,,5364974969,0
30-Dec-24,-1.56%,0,0.040810237,7.42%,0.0158,,10545289817,0
31-Dec-24,0.97%,0,0.033442923,6.83%,-0.0293,,5365646119,0
1-Jan-25,2.13%,0.087614155,0.042935102,6.97%,-0.002,,5427231098,0
2-Jan-25,3.44%,0.087614155,0.040693119,5.85%,0.0102,,5497071052,0
3-Jan-25,3.44%,0.087614155,0.040693119,5.85%,0.0249,,5497071052,0
4-Jan-25,5.21%,0.120148402,0.040693119,5.20%,0.0349,,5591188478,0
5-Jan-25,4.71%,0.121575343,0.029212712,4.48%,0.0446,,5564265953,0
6-Jan-25,4.22%,0.107876712,0.027252371,5.00%,0.0446,,5538522351,0
7-Jan-25,1.65%,0.130422374,0.024115267,5.13%,0.021,,5401510490,0
8-Jan-25,0.12%,0.134703196,0.038506906,5.72%,0.0369,,5320632546,0
9-Jan-25,-3.00%,0.134703196,0.052923641,7.10%,0.0192,,5154525929,0
10-Jan-25,-3.00%,0.134703196,0.052923641,7.10%,0.0154,,5154525929,0
11-Jan-25,-1.27%,0.123573059,0.052923641,7.55%,0.0314,,5246582329,0
12-Jan-25,1.98%,0.102739726,0.081294216,6.11%,0.0463,,5419565584,0
13-Jan-25,1.62%,0.113299087,0.074663075,6.77%,0.0463,,5400170195,0
14-Jan-25,1.62%,0.113299087,0.084308624,7.03%,0.0285,0.4571,5400170195,0
15-Jan-25,1.40%,0.111586758,0.084308624,5.72%,0.0221,0.3223,5388470421,0
16-Jan-25,2.75%,0.111586758,0.076589954,5.43%,0.0123,0.1612,5460423241,0
17-Jan-25,2.75%,0.111586758,0.076589954,5.43%,0.0171,0.219,5460423241,0
18-Jan-25,0.73%,0.086757991,0.076589954,6.11%,0.0273,0.3531,5352841835,0
19-Jan-25,1.37%,0.087043379,0.072158969,6.11%,0.0402,0.531,5386836649,0
20-Jan-25,1.93%,0.077054795,0.080106299,6.51%,0.0402,0.531,5416565599,0
21-Jan-25,1.04%,0.080194064,0.085786549,8.41%,0.0256,0.3014,5369295348,0
22-Jan-25,2.47%,0.107020548,0.106017384,8.54%,0.0255,0.288,5445167882,0
23-Jan-25,1.16%,0.107020548,0.13503211,10.04%,0.0235,0.2522,5375758109,0
24-Jan-25,1.16%,0.107020548,0.13503211,10.04%,0.026,0.2716,5375758109,0
25-Jan-25,6.32%,0.113299087,0.13503211,9.98%,0.039,0.4145,5650064440,0
26-Jan-25,6.14%,0.095605023,0.153483859,10.30%,0.0302,0.2987,5640425274,0
27-Jan-25,6.13%,0.091894977,0.157248383,10.43%,0.0302,0.2987,5639743003,0
28-Jan-25,6.13%,0.091894977,0.150884942,10.57%,0.0324,0.3122,5639743003,0
29-Jan-25,8.96%,0.090468037,0.150884942,9.52%,0.0413,0.3975,5790125618,0
30-Jan-25,8.10%,0.090468037,0.144554964,9.91%,0.0252,0.2215,5744530945,0
31-Jan-25,8.10%,0.090468037,0.144554964,9.91%,0.0295,0.2543,5744530945,0
1-Feb-25,7.76%,0.073630137,0.144554964,10.34%,0.0348,0.2965,5726599595,0
2-Feb-25,6.83%,0.081906393,0.16638363,10.50%,0.0304,0.2481,5676855695,0
3-Feb-25,7.69%,0.094178082,0.181985494,10.26%,0.0304,0.2481,5722616338,0
4-Feb-25,6.74%,0.108162101,0.184949709,11.22%,0.0452,0.3748,5672239497,0
5-Feb-25,9.35%,0.099315068,0.187512374,12.27%,0.039,0.3086,5810691151,0
6-Feb-25,8.08%,0.099315068,0.228110683,12.73%,0.0447,0.3491,5743670581,0
7-Feb-25,8.08%,0.099315068,0.228110683,12.73%,0.0478,0.3671,5743670581,0
8-Feb-25,8.08%,0.099315068,0.228110683,17.37%,0.0448,0.332,5743670581,0
9-Feb-25,12.67%,0.126426941,0.228110683,21.56%,0.0448,0.332,5987227065,0
