Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Contribution
17-Oct-24,-0.0082,0,0,0,-0.0082,,2028110559,2028110559
18-Oct-24,-0.0082,0,0,0,-0.0082,,2028110559,0
19-Oct-24,-0.0035,0,0,0,-0.0035,,2037809408,0
20-Oct-24,0.0253,0,0.024454528,0.0063,0.0253,,2096664961,0
21-Oct-24,0.0221,0,0.042717455,0.0153,0.0221,,2090071400,0
22-Oct-24,0.0189,0,0.043096595,0.0391,0.0189,,2083553253,0
23-Oct-24,0.0198,0,0.049499168,0.0681,0.0198,,2085524371,0
24-Oct-24,0.0158,0,0.07411269,0.0689,0.0158,,2077215509,0
25-Oct-24,0.0158,0,0.07411269,0.0689,0.0158,,2077215509,0
26-Oct-24,-0.0293,0,0.07411269,0.0282,-0.0293,,1984967640,0
27-Oct-24,-0.002,0,-0.015599775,0.0391,-0.002,,2040890703,0
28-Oct-24,0.0102,0,0.002736534,0.0574,0.0102,,2065755819,0
29-Oct-24,0.0249,0,0.03272834,0.0736,0.0249,,2095966888,0
30-Oct-24,0.0349,0,0.06581136,0.0795,0.0349,,2116294059,0
31-Oct-24,0.0446,0,0.072024363,0.0696,0.0446,,2136136214,0
1-Nov-24,0.0446,0,0.072024363,0.0696,0.0446,,2136136214,0
2-Nov-24,0.021,-0.01346348,0.072024363,0.0889,0.021,,2087866523,0
3-Nov-24,0.0369,-0.028273309,0.057439705,0.0892,0.0369,,2120356071,0
4-Nov-24,0.0192,-0.035005049,0.081080916,0.0814,0.0192,,2084241998,0
5-Nov-24,0.0154,-0.021541569,0.056494912,0.079,0.0154,,2076418151,0
6-Nov-24,0.0314,-0.037024571,0.043986351,0.0923,0.0314,,2109201328,0
7-Nov-24,0.0463,-0.037024571,0.068612103,0.0861,0.0463,,2139600616,0
8-Nov-24,0.0463,-0.037024571,0.068612103,0.0861,0.0463,,2139600616,0
9-Nov-24,0.0285,-0.008414675,0.068612103,0.0845,0.0285,0.4571,2103299803,0
10-Nov-24,0.0221,-0.008414675,0.042326085,0.0692,0.0221,0.3223,2090168027,0
11-Nov-24,0.0123,-0.008414675,0.011352796,0.0485,0.0123,0.1612,2070120121,0
12-Nov-24,0.0171,-0.008414675,-0.028463016,0.0649,0.0171,0.219,2079829954,0
13-Nov-24,0.0273,-0.008414675,-0.014489873,0.0696,0.0273,0.3531,2100715443,0
14-Nov-24,0.0402,-0.008414675,0.007163911,0.0728,0.0402,0.531,2127154116,0
15-Nov-24,0.0402,-0.008414675,0.007163911,0.0728,0.0402,0.531,2127154116,0
16-Nov-24,0.0256,-0.008414675,0.007163911,0.0701,0.0256,0.3014,2097373351,0
17-Nov-24,0.0255,-0.008414675,-0.004488528,0.0704,0.0255,0.288,2097176936,0
18-Nov-24,0.0235,-0.008414675,-0.003078983,0.072,0.0235,0.2522,2092977458,0
19-Nov-24,0.026,-0.008414675,0.001800915,0.0822,0.026,0.2716,2098079110,0
20-Nov-24,0.039,-0.008414675,0.023298762,0.0826,0.039,0.4145,2124692798,0
21-Nov-24,0.0302,-0.008414675,0.044163691,0.0858,0.0302,0.2987,2106725466,0
22-Nov-24,0.0302,-0.008414675,0.044163691,0.0858,0.0302,0.2987,2106725466,0
23-Nov-24,0.0324,-0.008414675,0.044163691,0.0986,0.0324,0.3122,2111258746,0
24-Nov-24,0.0413,-0.008414675,0.068911746,0.0782,0.0413,0.3975,2129453964,0
25-Nov-24,0.0252,-0.008414675,0.053651362,0.0853,0.0252,0.2215,2096548159,0
26-Nov-24,0.0295,-0.008414675,0.032355315,0.0889,0.0295,0.2543,2105177235,0
27-Nov-24,0.0348,-0.008414675,0.031587863,0.0947,0.0348,0.2965,2116078426,0
28-Nov-24,0.0304,-0.008414675,0.038079106,0.0986,0.0304,0.2481,2107167047,0
29-Nov-24,0.0304,-0.008414675,0.038079106,0.0986,0.0304,0.2481,2107167047,0
30-Nov-24,0.0452,-0.008414675,0.038079106,0.1059,0.0452,0.3748,2137311239,0
1-Dec-24,0.039,0.131942107,0.061601071,0.0994,0.039,0.3086,2124769095,0
2-Dec-24,0.0447,0.165264221,0.048551318,0.1088,0.0447,0.3491,2136268941,0
3-Dec-24,0.0478,0.171995961,0.053526002,0.1182,0.0478,0.3671,2142798192,0
4-Dec-24,0.0448,0.166947156,0.059133604,0.1228,0.0448,0.332,2136666732,0
5-Dec-24,0.0448,0.166947156,0.065028619,0.1197,0.0448,0.332,2136666732,0
6-Dec-24,0.0448,0.166947156,0.065028619,0.1197,0.0448,0.332,2136666732,0
7-Dec-24,0.0473,0.152137328,0.065028619,0.1236,0.0473,0.3431,2141619532,0
8-Dec-24,0.0502,0.145069,0.059298713,0.1294,0.0502,0.358,2147656378,0
9-Dec-24,0.0483,0.179400875,0.069758696,0.1307,0.0483,0.3341,2143761446,0
10-Dec-24,0.053,0.179400875,0.07277347,0.1377,0.053,0.3614,2153238801,0
11-Dec-24,0.0581,0.179400875,0.083530038,0.151,0.0581,0.3916,2163693097,0
12-Dec-24,0.0648,0.179400875,0.110699697,0.1479,0.0648,0.4336,2177520662,0
13-Dec-24,0.0648,0.179400875,0.110699697,0.1479,0.0648,0.4336,2177520662,0
14-Dec-24,0.0575,0.179400875,0.110699697,0.1761,0.0575,0.369,2162494932,0
15-Dec-24,0.0652,0.179400875,0.123134876,0.1721,0.0652,0.4162,2178271590,0
16-Dec-24,0.0548,0.179400875,0.12186598,0.1941,0.0548,0.3344,2157098659,0
17-Dec-24,0.0622,0.179400875,0.13250636,0.2027,0.0622,0.3773,2172223110,0
18-Dec-24,0.0622,0.179400875,0.142333423,0.2097,0.0622,0.3773,2172223110,0
19-Dec-24,0.0841,0.179400875,0.135209261,0.2058,0.0841,0.5224,2216979672,0
20-Dec-24,0.0841,0.179400875,0.135209261,0.2058,0.0841,0.5224,2216979672,0
21-Dec-24,0.0635,0.179400875,0.135209261,0.1941,0.0635,0.3697,2174823210,0
22-Dec-24,0.0545,0.179400875,0.108327014,0.1953,0.0545,0.3051,2156411207,0
23-Dec-24,0.0564,0.179400875,0.096481948,0.2246,0.0564,0.3107,2160326163,0
24-Dec-24,0.0518,0.179400875,0.130677927,0.2336,0.0518,0.277,2150821422,0
25-Dec-24,0.0399,0.179400875,0.139171885,0.234,0.0399,0.2048,2126533435,0
26-Dec-24,0.0138,0.179400875,0.133616261,0.248,0.0138,0.0661,2073095785,0
27-Dec-24,0.0138,0.179400875,0.133616261,0.248,0.0138,0.0661,2073095785,0
28-Dec-24,0.0569,0.179400875,0.133616261,0.2786,0.0569,0.2902,2161255393,0
29-Dec-24,0.0737,0.179400875,0.161360746,0.2527,0.0737,0.3802,2195650904,0
30-Dec-24,0.1104,0.179400875,0.141229637,0.284,0.1104,0.5376,4315728453,0
31-Dec-24,0.0738,0.179400875,0.133151509,0.277,0.0738,0.3606,2195925577,0
1-Jan-25,0.0862,0.282733087,0.143559513,0.2786,0.0862,0.4217,2221129630,0
2-Jan-25,0.1001,0.282733087,0.141101218,0.2653,0.1001,0.4922,2249712086,0
3-Jan-25,0.1001,0.282733087,0.141101218,0.2653,0.1001,0.4922,2249712086,0
4-Jan-25,0.119,0.321104005,0.141101218,0.2574,0.119,0.5912,2288230255,0
5-Jan-25,0.1136,0.32278694,0.12851316,0.2488,0.1136,0.5498,2277212036,0
6-Jan-25,0.1084,0.306630764,0.126363681,0.2551,0.1084,0.5117,2266676300,0
7-Jan-25,0.081,0.333221138,0.122923903,0.2567,0.081,0.3611,2210603304,0
8-Jan-25,0.0648,0.338269943,0.138704075,0.2637,0.0648,0.2778,2177503480,0
9-Jan-25,0.0316,0.338269943,0.154511766,0.2801,0.0316,0.1271,2109523266,0
10-Jan-25,0.0316,0.338269943,0.154511766,0.2801,0.0316,0.1271,2109523266,0
11-Jan-25,0.05,0.32514305,0.154511766,0.2856,0.05,0.2035,2147197946,0
12-Jan-25,0.0846,0.300572198,0.185619588,0.2684,0.0846,0.3557,2217992469,0
13-Jan-25,0.0807,0.313025917,0.178348662,0.2762,0.0807,0.3325,2210054780,0
