Date,Fund,Dollar,Firouzen,Gold
10/17/2020, -   ,0,0,0
10/18/2020,0.01,0,0,0
10/19/2020,0.02,-0.029827316,0,-0.078706903
10/20/2020,-0.01,-0.135133438,0,-0.149111188
10/21/2020,-0.02,-0.095604396,0,-0.129098518
10/22/2020, -   ,-0.077708006,0,-0.129098518
10/23/2020, -   ,-0.077708006,0,-0.129098518
10/24/2020,-0.01,-0.089513344,0,-0.105668817
10/25/2020,-0.01,-0.089513344,0,-0.105668817
10/26/2020,-0.05,-0.121350079,0,-0.161310758
10/27/2020,-0.03,-0.113594977,0,-0.145838133
10/28/2020, -   ,-0.125745683,0,-0.150790908
10/29/2020,-0.02,-0.128728414,0,-0.150790908
10/30/2020,-0.02,-0.128728414,0,-0.150790908
10/31/2020,-0.01,-0.156295133,0,-0.204589956
11/1/2020,-0.01,-0.145902669,0,-0.17590033
11/2/2020,-0.01,-0.113343799,-0.023267974,-0.096377563
11/3/2020,-0.01,-0.113343799,-0.023267974,-0.096377563
11/4/2020,-0.01,-0.091522763,0.031830065,-0.006018199
11/5/2020,-0.01,-0.172527473,0.031830065,-0.006018199
11/6/2020,-0.01,-0.172527473,0.031830065,-0.006018199
11/7/2020,-0.01,-0.230863422,-0.052941176,-0.10540966
11/8/2020,-0.01,-0.262166405,-0.139281046,-0.155849267
11/9/2020,-0.01,-0.221255887,-0.110457516,-0.091069646
11/10/2020,-0.01,-0.149042386,-0.110457516,-0.10889388
11/11/2020,-0.01,-0.15233909,-0.110457516,-0.139810336
11/12/2020,-0.01,-0.156828885,-0.110457516,-0.139810336
11/13/2020,-0.01,-0.156828885,-0.110457516,-0.139810336
11/14/2020,-0.01,-0.16021978,-0.110457516,-0.146653997
11/15/2020,-0.01,-0.183485086,-0.110457516,-0.179499731
11/16/2020,-0.01,-0.186718995,-0.110457516,-0.164910159
11/17/2020,-0.01,-0.186907378,-0.110457516,-0.168643938
11/18/2020,-0.01,-0.195510204,-0.110457516,-0.198207018
11/19/2020,-0.01,-0.195604396,-0.110457516,-0.198207018
11/20/2020,-0.01,-0.195604396,-0.110457516,-0.198207018
11/21/2020,-0.01,-0.185117739,-0.110457516,-0.177253705
11/22/2020, -   ,-0.201067504,-0.110457516,-0.199186055
11/23/2020,-0.0033,-0.197739404,-0.110457516,-0.189741227
11/24/2020,-0.0172,-0.213594977,-0.110457516,-0.225754435
11/25/2020,-0.018,-0.213312402,-0.110457516,-0.242196499
11/26/2020,-0.0142,-0.213312402,-0.110457516,-0.242196499
11/27/2020,-0.0142,-0.213312402,-0.110457516,-0.242196499
11/28/2020,-0.0138,-0.222731554,-0.110457516,-0.252543577
11/29/2020,-0.0143,-0.228979592,-0.110457516,-0.253887353
11/30/2020,-0.0046,-0.214850863,-0.110457516,-0.196949628
12/1/2020,0.005,-0.195572998,-0.110457516,-0.158738386
12/2/2020,-0.0043,-0.195604396,-0.123666388,-0.188829379
12/3/2020,-0.0016,-0.20043956,-0.123666388,-0.188829379
12/4/2020,-0.0016,-0.20043956,-0.123666388,-0.188829379
12/5/2020,-0.005,-0.198288854,-0.11423148,-0.184836443
12/6/2020,-0.0087,-0.196138148,-0.087523432,-0.171177916
12/7/2020,-0.0035,-0.196263736,-0.088926572,-0.161339553
12/8/2020,-0.0094,-0.196389325,-0.095700352,-0.138716118
12/9/2020,-0.004,-0.184427002,-0.093039225,-0.113184366
12/10/2020,-0.0012,-0.181632653,-0.093039225,-0.113184366
12/11/2020,-0.0012,-0.181632653,-0.093039225,-0.113184366
12/12/2020,-0.0007,-0.183830455,-0.093039225,-0.14435038
12/13/2020,-0.0036,-0.189858713,-0.093039225,-0.173721493
12/14/2020,-0.0067,-0.193029827,-0.093039225,-0.197256777
12/15/2020,-0.0083,-0.188288854,-0.093039225,-0.165869999
12/16/2020,-0.0058,-0.190141287,-0.093039225,-0.181582585
12/17/2020,-0.0091,-0.18989011,-0.093039225,-0.181582585
12/18/2020,-0.0091,-0.18989011,-0.093039225,-0.181582585
12/19/2020,0.0041,-0.199403454,-0.093039225,-0.190365123
12/20/2020,0.0076,-0.202543171,-0.093039225,-0.190307533
12/21/2020,0.0053,-0.20100471,-0.093039225,-0.183262305
12/22/2020,0.0086,-0.198587127,-0.093039225,-0.194540429
12/23/2020,0.0195,-0.190612245,-0.093039225,-0.184817246
12/24/2020,0.0257,-0.188006279,-0.093039225,-0.184817246
12/25/2020,0.0257,-0.188006279,-0.093039225,-0.184817246
12/26/2020,0.0208,-0.192684458,-0.093039225,-0.196748061
12/27/2020,0.0277,-0.191868132,-0.093039225,-0.196776856
12/28/2020,0.0252,-0.191742543,-0.093039225,-0.194818782
12/29/2020,0.0184,-0.19299843,-0.093039225,-0.201998388
12/30/2020,0.0427,-0.193186813,-0.093039225,-0.209888275
12/31/2020,0.0389,-0.193061225,-0.093039225,-0.209888275
