Date,Ret,Bourse Historical Ret,Gold Historical,Dollar Historical,Historical Ret,Historical Yearly Ret,Historical Asset Value,Projected Ret,Yearly Ret,Historical Yearly Ret,Projected Yearly Ret,Asset Value,Historical Asset Value,Projected Asset Value,,Bourse,Bourse Index,Bourse Historical Ret,,Gold,Gold Index,Gold Historical,,Dollar,Dollar Index,Dollar Historical
17-Oct-24,-0.82%,0%,0%,0.00%,-0.82%,,2028110559,,,,,2028110559,2028110559,,,0.477559318,1,0%,,327055,1,0%,,639000,1,0.00%
18-Oct-24,-0.82%,0%,0%,0.00%,-0.82%,,2028110559,,,,,2028110559,2028110559,,,0.477559318,1,0%,,327055,1,0%,,639000,1,0.00%
19-Oct-24,-0.35%,0%,0%,0.00%,-0.35%,,2037809408,,,,,2037809408,2037809408,,,0.477559318,1,0%,,327055,1,0%,,639000,1,0.00%
20-Oct-24,2.53%,0%,2%,0.63%,2.53%,,2096664961,,,,,2096664961,2096664961,,,0.477559318,1,0%,,335053,1.024454528,2%,,643000,1.006259771,0.63%
21-Oct-24,2.21%,0%,4%,1.53%,2.21%,,2090071400,,,,,2090071400,2090071400,,,0.477559318,1,0%,,341026,1.042717455,4%,,648800,1.015336439,1.53%
22-Oct-24,1.89%,0%,4%,3.91%,1.89%,,2083553253,,,,,2083553253,2083553253,,,0.477559318,1,0%,,341150,1.043096595,4%,,664000,1.039123569,3.91%
23-Oct-24,1.98%,0%,5%,6.81%,1.98%,,2085524371,,,,,2085524371,2085524371,,,0.477559318,1,0%,,343244,1.049499168,5%,,682500,1.068075011,6.81%
24-Oct-24,1.58%,0%,7%,6.89%,1.58%,,2077215509,,,,,2077215509,2077215509,,,0.477559318,1,0%,,351294,1.07411269,7%,,683000,1.068857482,6.89%
25-Oct-24,1.58%,0%,7%,6.89%,1.58%,,2077215509,,,,,2077215509,2077215509,,,0.477559318,1,0%,,351294,1.07411269,7%,,683000,1.068857482,6.89%
26-Oct-24,-2.93%,0%,7%,2.82%,-2.93%,,1984967640,,,,,1984967640,1984967640,,,0.477559318,1,0%,,351294,1.07411269,7%,,657000,1.02816897,2.82%
27-Oct-24,-0.20%,0%,-2%,3.91%,-0.20%,,2040890703,,,,,2040890703,2040890703,,,0.477559318,1,0%,,321953,0.984400225,-2%,,664000,1.039123569,3.91%
28-Oct-24,1.02%,0%,0%,5.74%,1.02%,,2065755819,,,,,2065755819,2065755819,,,0.477559318,1,0%,,327950,1.002736534,0%,,675700,1.0574334,5.74%
29-Oct-24,2.49%,0%,3%,7.36%,2.49%,,2095966888,,,,,2095966888,2095966888,,,0.477559318,1,0%,,337759,1.03272834,3%,,686000,1.073552311,7.36%
30-Oct-24,3.49%,0%,7%,7.95%,3.49%,,2116294059,,,,,2116294059,2116294059,,,0.477559318,1,0%,,348579,1.06581136,7%,,689800,1.079499093,7.95%
31-Oct-24,4.46%,0%,7%,6.96%,4.46%,,2136136214,,,,,2136136214,2136136214,,,0.477559318,1,0%,,350611,1.072024363,7%,,683500,1.069639954,6.96%
1-Nov-24,4.46%,0%,7%,6.96%,4.46%,,2136136214,,,,,2136136214,2136136214,,,0.477559318,1,0%,,350611,1.072024363,7%,,683500,1.069639954,6.96%
2-Nov-24,2.10%,-1%,7%,8.89%,2.10%,,2087866523,,,,,2087866523,2087866523,,,0.457666227,0.98653652,-1%,,350611,1.072024363,7%,,695800,1.08888875,8.89%
3-Nov-24,3.69%,-3%,6%,8.92%,3.69%,,2120356071,,,,,2120356071,2120356071,,,0.435783827,0.971726691,-3%,,345841,1.057439705,6%,,696000,1.089201738,8.92%
4-Nov-24,1.92%,-4%,8%,8.14%,1.92%,,2084241998,,,,,2084241998,2084241998,,,0.425837282,0.964994951,-4%,,353573,1.081080916,8%,,691000,1.081377024,8.14%
5-Nov-24,1.54%,-2%,6%,7.90%,1.54%,,2076418151,,,,,2076418151,2076418151,,,0.445730373,0.978458432,-2%,,345532,1.056494912,6%,,689500,1.07902961,7.90%
6-Nov-24,3.14%,-4%,4%,9.23%,3.14%,,2109201328,,,,,2109201328,2109201328,,,0.422853318,0.962975429,-4%,,341441,1.043986351,4%,,698000,1.092331624,9.23%
7-Nov-24,4.63%,-4%,7%,8.61%,4.63%,,2139600616,,,,,2139600616,2139600616,,,0.422853318,0.962975429,-4%,,349495,1.068612103,7%,,694000,1.086071853,8.61%
8-Nov-24,4.63%,-4%,7%,8.61%,4.63%,,2139600616,,,,,2139600616,2139600616,,,0.422853318,0.962975429,-4%,,349495,1.068612103,7%,,694000,1.086071853,8.61%
9-Nov-24,2.85%,-1%,7%,8.45%,2.85%,45.71%,2103299803,,45.71%,45.71%,,2103299803,2103299803,,,0.465126136,0.991585325,-1%,,349495,1.068612103,7%,,693000,1.08450691,8.45%
10-Nov-24,2.21%,-1%,4%,6.92%,2.21%,32.23%,2090168027,,32.23%,32.23%,,2090168027,2090168027,,,0.465126136,0.991585325,-1%,,340898,1.042326085,4%,,683200,1.069170471,6.92%
11-Nov-24,1.23%,-1%,1%,4.85%,1.23%,16.12%,2070120121,,16.12%,16.12%,,2070120121,2070120121,,,0.465126136,0.991585325,-1%,,330768,1.011352796,1%,,670000,1.048513226,4.85%
12-Nov-24,1.71%,-1%,-3%,6.49%,1.71%,21.90%,2079829954,,21.90%,21.90%,,2079829954,2079829954,,,0.465126136,0.991585325,-1%,,317746,0.971536985,-3%,,680500,1.064945125,6.49%
13-Nov-24,2.73%,-1%,-1%,6.96%,2.73%,35.31%,2100715443,,35.31%,35.31%,,2100715443,2100715443,,,0.465126136,0.991585325,-1%,,322316,0.985510127,-1%,,683500,1.069639954,6.96%
14-Nov-24,4.02%,-1%,1%,7.28%,4.02%,53.10%,2127154116,,53.10%,53.10%,,2127154116,2127154116,,,0.465126136,0.991585325,-1%,,329398,1.007163911,1%,,685500,1.072769839,7.28%
15-Nov-24,4.02%,-1%,1%,7.28%,4.02%,53.10%,2127154116,,53.10%,53.10%,,2127154116,2127154116,,,0.465126136,0.991585325,-1%,,329398,1.007163911,1%,,685500,1.072769839,7.28%
